feature,kind
time_second,numeric
analysis_start_time_sec,numeric
analysis_end_time_sec,numeric
analyzed_duration_sec,numeric
total_beats,numeric
caseend,numeric
anestart,numeric
aneend,numeric
opstart,numeric
opend,numeric
age,numeric
height,numeric
weight,numeric
bmi,numeric
asa,numeric
emop,numeric
preop_htn,numeric
preop_dm,numeric
preop_hb,numeric
preop_plt,numeric
preop_pt,numeric
preop_aptt,numeric
preop_na,numeric
preop_k,numeric
preop_gluc,numeric
preop_alb,numeric
preop_ast,numeric
preop_alt,numeric
preop_bun,numeric
preop_cr,numeric
preop_ph,numeric
preop_hco3,numeric
preop_be,numeric
preop_pao2,numeric
preop_paco2,numeric
preop_sao2,numeric
tubesize,numeric
lmasize,numeric
intraop_ebl,numeric
intraop_uo,numeric
intraop_rbc,numeric
intraop_ffp,numeric
intraop_crystalloid,numeric
intraop_colloid,numeric
intraop_ppf,numeric
intraop_mdz,numeric
intraop_ftn,numeric
intraop_rocu,numeric
intraop_vecu,numeric
intraop_eph,numeric
intraop_phe,numeric
intraop_epi,numeric
intraop_ca,numeric
rr_prev,numeric
rr_next,numeric
hr_inst_from_rr_prev,numeric
position_in_case,numeric
sex,categorical
department,categorical
optype,categorical
approach,categorical
position,categorical
ane_type,categorical
preop_ecg,categorical
preop_pft,categorical
cormack,categorical
dltubesize,categorical
iv1,categorical
iv2,categorical
aline1,categorical
aline2,categorical
cline1,categorical
cline2,categorical
